week commencing,female___45-64 years
2020-03-16,1
2020-03-23,3
2020-03-30,12
2020-04-06,17
2020-04-13,16
2020-04-20,17
2020-04-27,12
2020-05-04,16
2020-05-11,10
2020-05-18,5
2020-05-25,5
2020-06-01,2
2020-06-08,0
2020-06-15,2
2020-06-22,0
2020-06-29,0
2020-07-06,0
2020-07-13,0
2020-07-20,1
2020-07-27,1
2020-08-03,0
2020-08-10,1
2020-08-17,0
2020-08-24,0
2020-08-31,0
2020-09-07,0
2020-09-14,0
2020-09-21,0
2020-09-28,0
2020-10-05,3
2020-10-12,3
2020-10-19,5
2020-10-26,5
2020-11-02,9
2020-11-09,9
2020-11-16,8
2020-11-23,13
2020-11-30,4
2020-12-07,7
2020-12-14,5
2020-12-21,9
2020-12-28,5
2021,122
2021-01-04,14
2021-01-11,17
2021-01-18,24
2021-01-25,29
2021-02-01,22
2021-02-08,16
