week commencing,West Dunbartonshire
2019-12-30,25
2020-01-06,34
2020-01-13,25
2020-01-20,20
2020-01-27,22
2020-02-03,16
2020-02-10,16
2020-02-17,24
2020-02-24,21
2020-03-02,21
2020-03-09,23
2020-03-16,25
2020-03-23,21
2020-03-30,43
2020-04-06,43
2020-04-13,41
2020-04-20,31
2020-04-27,42
2020-05-04,28
2020-05-11,29
2020-05-18,21
2020-05-25,22
2020-06-01,20
2020-06-08,28
2020-06-15,20
2020-06-22,21
2020-06-29,23
2020-07-06,15
2020-07-13,16
2020-07-20,18
2020-07-27,14
2020-08-03,15
2020-08-10,24
2020-08-17,23
2020-08-24,17
2020-08-31,17
2020-09-07,16
2020-09-14,18
2020-09-21,11
2020-09-28,22
2020-10-05,18
2020-10-12,33
2020-10-19,16
2020-10-26,23
2020-11-02,31
2020-11-09,27
2020-11-16,31
2020-11-23,24
2020-11-30,29
2020-12-07,27
2020-12-14,25
2020-12-21,31
2020-12-28,23
2021,165
2021-01-04,23
2021-01-11,30
2021-01-18,29
2021-01-25,27
2021-02-01,30
2021-02-08,26
