week commencing,North Lanarkshire
2019-12-30,75
2020-01-06,103
2020-01-13,83
2020-01-20,86
2020-01-27,83
2020-02-03,82
2020-02-10,70
2020-02-17,66
2020-02-24,65
2020-03-02,81
2020-03-09,76
2020-03-16,71
2020-03-23,78
2020-03-30,117
2020-04-06,133
2020-04-13,141
2020-04-20,115
2020-04-27,107
2020-05-04,103
2020-05-11,67
2020-05-18,65
2020-05-25,70
2020-06-01,62
2020-06-08,65
2020-06-15,56
2020-06-22,68
2020-06-29,56
2020-07-06,67
2020-07-13,63
2020-07-20,76
2020-07-27,65
2020-08-03,62
2020-08-10,62
2020-08-17,63
2020-08-24,83
2020-08-31,79
2020-09-07,60
2020-09-14,65
2020-09-21,74
2020-09-28,85
2020-10-05,72
2020-10-12,71
2020-10-19,67
2020-10-26,91
2020-11-02,71
2020-11-09,95
2020-11-16,85
2020-11-23,93
2020-11-30,89
2020-12-07,88
2020-12-14,69
2020-12-21,91
2020-12-28,56
2021,740
2021-01-04,152
2021-01-11,109
2021-01-18,113
2021-01-25,102
2021-02-01,92
2021-02-08,89
2021-02-15,83
