week commencing,East Ayrshire
2019-12-30,25
2020-01-06,37
2020-01-13,40
2020-01-20,26
2020-01-27,26
2020-02-03,30
2020-02-10,24
2020-02-17,24
2020-02-24,34
2020-03-02,35
2020-03-09,37
2020-03-16,39
2020-03-23,47
2020-03-30,26
2020-04-06,38
2020-04-13,47
2020-04-20,42
2020-04-27,36
2020-05-04,33
2020-05-11,45
2020-05-18,26
2020-05-25,29
2020-06-01,22
2020-06-08,29
2020-06-15,24
2020-06-22,29
2020-06-29,23
2020-07-06,29
2020-07-13,25
2020-07-20,19
2020-07-27,25
2020-08-03,31
2020-08-10,12
2020-08-17,21
2020-08-24,17
2020-08-31,22
2020-09-07,27
2020-09-14,16
2020-09-21,16
2020-09-28,26
2020-10-05,23
2020-10-12,34
2020-10-19,38
2020-10-26,40
2020-11-02,30
2020-11-09,38
2020-11-16,27
2020-11-23,42
2020-11-30,33
2020-12-07,27
2020-12-14,32
2020-12-21,42
2020-12-28,37
2021,268
2021-01-04,58
2021-01-11,39
2021-01-18,46
2021-01-25,39
2021-02-01,45
2021-02-08,41
