date,nhs_ayrshire_arran,nhs_borders,nhs_dumfries_galloway,nhs_fife,nhs_forth_valley,nhs_grampian,nhs_greater_glasgow_clyde,nhs_highland,nhs_lanarkshire,nhs_lothian,nhs_orkney,nhs_shetland,nhs_tayside,nhs_western_isles_scotland,golden_jubilee_nationalhospital,scotland
04/06/20,*,*,*,*,*,*,5,*,6,5,*,*,*,*,*,28
05/06/20,*,*,*,*,*,5,*,*,*,*,*,*,*,*,*,23
06/06/20,*,*,*,*,*,*,*,*,*,5,*,*,*,*,*,20
07/06/20,*,*,*,*,*,*,*,*,*,7,*,*,*,*,*,25
08/06/20,*,*,*,*,*,*,*,*,*,6,*,*,*,*,*,24
09/06/20,*,*,*,*,*,*,*,*,*,6,*,*,*,*,*,21
10/06/20,*,*,*,*,*,*,*,*,*,5,*,*,*,*,*,18
11/06/20,*,*,*,*,*,*,*,*,6,*,*,*,*,*,*,21
12/06/20,*,*,*,*,*,*,*,*,*,8,*,*,*,*,*,23
13/06/20,*,*,*,*,*,*,*,*,*,6,*,*,*,*,*,20
14/06/20,*,*,*,*,*,*,*,*,*,5,*,*,*,*,*,15
15/06/20,*,*,*,*,*,5,*,*,*,*,*,*,*,*,*,18
16/06/20,*,*,*,*,*,*,*,*,*,6,*,*,*,*,*,19
17/06/20,*,*,*,*,*,*,*,*,6,*,*,*,*,*,*,22
18/06/20,*,*,*,*,*,*,*,*,5,5,*,*,*,*,*,22
19/06/20,*,*,*,*,*,*,*,*,*,5,*,*,*,*,*,18
20/06/20,*,*,*,*,*,*,*,*,*,6,*,*,*,*,*,14
21/06/20,*,*,*,*,*,*,*,*,*,7,*,*,*,*,*,16
22/06/20,*,*,*,*,*,*,*,*,*,6,*,*,*,*,*,15
23/06/20,*,*,*,*,*,*,*,*,*,10,*,*,*,*,*,21
24/06/20,*,*,*,*,*,*,*,*,6,7,*,*,*,*,*,23
25/06/20,*,*,*,*,*,*,*,*,5,5,*,*,*,*,*,18
26/06/20,*,*,*,*,*,*,*,*,*,6,*,*,*,*,*,17
27/06/20,*,*,*,*,*,*,*,*,*,5,*,*,*,*,*,16
28/06/20,*,*,*,*,*,*,*,*,*,5,*,*,*,*,*,13
29/06/20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,10
30/06/20,*,*,*,*,*,*,*,*,*,9,*,*,*,*,*,19
01/07/20,*,*,*,*,*,*,*,*,*,8,*,*,*,*,*,17
02/07/20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,9
03/07/20,*,*,*,*,*,*,*,*,*,7,*,*,*,*,*,12
04/07/20,*,*,*,*,*,*,*,*,*,12,*,*,*,*,*,20
05/07/20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,11
06/07/20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,8
07/07/20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,7
08/07/20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,11
09/07/20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,9
10/07/20,*,*,*,*,*,*,*,*,*,7,*,*,*,*,*,12
11/07/20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6
12/07/20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6
13/07/20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6
14/07/20,*,*,*,*,*,*,*,*,*,9,*,*,*,*,*,12
15/07/20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6
16/07/20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6
17/07/20,*,*,*,*,*,*,*,*,*,5,*,*,*,*,*,9
18/07/20,*,*,*,*,*,*,*,*,*,6,*,*,*,*,*,8
19/07/20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4
20/07/20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,10
21/07/20,*,*,*,*,*,*,*,*,*,15,*,*,*,*,*,20
