day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,113093.0,113093,113093,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
1,113093.0,113093,113093,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
2,113093.0,113093,113093,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
3,113093.0,113093,113093,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
4,113093.0,113093,113093,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
5,113093.0,113093,113093,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
6,113092.983,113089,113093,0.017,0,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7,113092.835,113084,113093,0.162,0,8,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
8,113092.335,113080,113093,0.645,0,12,0.0,0,0,0.0,0,0,0.0,0,0,0.002,0,1,0.0,0,0
9,113090.723,113074,113093,2.221,0,18,0.0,0,0,0.001,0,1,0.0,0,0,0.006,0,1,0.005,0,1
10,113086.926,113064,113093,5.866,0,27,0.0,0,0,0.002,0,1,0.0,0,0,0.02,0,1,0.007,0,1
11,113078.946,113043,113093,13.399,0,46,0.0,0,0,0.003,0,1,0.0,0,0,0.065,0,2,0.039,0,2
12,113064.344,113012,113093,27.004,0,76,0.0,0,0,0.006,0,1,0.0,0,0,0.133,0,3,0.161,0,4
13,113039.336,112968,113087,49.996,6,116,0.0,0,0,0.013,0,1,0.0,0,0,0.33,0,4,0.434,0,5
14,112998.955,112907,113062,86.525,28,165,0.0,0,0,0.025,0,1,0.0,0,0,0.643,0,4,1.08,0,8
15,112935.939,112815,113022,143.038,66,249,0.0,0,0,0.059,0,2,0.0,0,0,1.161,0,7,2.337,0,12
16,112841.862,112687,112976,226.327,112,365,0.001,0,1,0.132,0,2,0.0,0,0,2.028,0,9,4.73,0,20
17,112703.407,112504,112893,347.662,183,527,0.001,0,1,0.263,0,4,0.0,0,0,3.405,0,11,8.825,0,30
18,112506.57,112237,112738,518.132,322,750,0.001,0,1,0.501,0,4,0.0,0,0,5.586,0,15,15.422,0,40
19,112229.494,111910,112522,755.852,499,1015,0.004,0,1,0.904,0,5,0.0,0,0,8.76,0,19,25.864,3,51
20,111848.371,111480,112250,1079.667,731,1418,0.008,0,1,1.554,0,7,0.0,0,0,13.325,2,27,42.077,14,80
21,111328.487,110835,111875,1518.298,1047,1971,0.032,0,2,2.593,0,9,0.0,0,0,19.711,4,36,66.29,26,121
22,110628.927,110011,111299,2102.599,1552,2633,0.064,0,2,4.17,0,14,0.0,0,0,28.936,11,49,101.418,45,165
23,109695.603,108896,110585,2876.248,2140,3556,0.117,0,2,6.658,1,20,0.0,0,0,41.642,22,67,151.929,88,234
24,108464.572,107472,109490,3887.645,3067,4701,0.223,0,3,10.524,1,25,0.001,0,1,58.698,30,89,222.549,135,335
25,106852.795,105645,107990,5204.801,4330,6195,0.422,0,4,16.076,5,36,0.001,0,1,81.443,46,120,321.072,222,450
26,104760.075,103407,106117,6902.521,5839,7970,0.734,0,6,24.322,8,51,0.001,0,1,111.304,73,158,456.104,319,628
27,102078.835,100553,103638,9059.991,7890,10333,1.203,0,7,35.952,13,67,0.004,0,1,151.732,103,206,639.836,487,810
28,98680.108,96666,100424,11770.482,10452,13438,1.842,0,7,52.733,21,92,0.017,0,1,204.655,148,262,885.281,688,1123
29,94445.857,91784,96548,15111.088,13561,17322,2.892,0,10,76.426,38,127,0.039,0,1,272.172,210,336,1211.183,954,1508
30,89280.431,86153,91570,19130.092,17359,21661,4.138,0,13,109.212,63,170,0.068,0,1,357.893,275,433,1638.548,1318,1966
31,83137.686,79535,85819,23822.726,21749,26661,5.933,0,16,154.853,100,228,0.107,0,2,465.583,365,555,2193.121,1829,2573
32,76069.038,72157,79247,29084.084,26743,32097,8.172,1,19,216.563,151,306,0.167,0,2,598.257,480,693,2905.533,2441,3357
33,68243.704,64245,71734,34701.064,32162,37533,10.701,2,22,299.816,219,396,0.287,0,4,759.546,630,892,3805.401,3269,4348
34,59962.381,55922,63702,40352.473,37701,43017,13.575,4,26,412.025,312,529,0.492,0,5,947.865,792,1074,4925.915,4350,5640
35,51596.101,47715,55174,45657.171,43384,48034,16.567,5,33,559.957,434,697,0.844,0,5,1162.963,995,1301,6293.348,5645,7103
36,43541.688,39941,46820,50248.07,48455,52281,19.452,8,35,753.812,596,905,1.33,0,6,1400.458,1234,1580,7927.206,7153,8912
37,36133.613,32886,39235,53843.923,52315,55566,22.029,9,39,1003.476,794,1174,2.064,0,7,1654.33,1492,1829,9834.286,8953,10988
38,29586.891,26712,32495,56307.388,55186,57380,24.413,11,43,1321.883,1059,1521,3.089,0,10,1915.697,1742,2088,12003.663,11019,13213
39,24000.796,21583,26579,57624.039,56839,58467,26.434,11,48,1723.303,1428,1945,4.471,0,11,2178.074,1982,2356,14407.586,13342,15774
40,19349.235,17143,21487,57903.491,57073,58613,28.227,11,48,2224.33,1891,2520,6.272,0,15,2432.984,2256,2628,17001.199,15747,18379
41,15539.515,13707,17428,57316.275,56237,58112,29.979,12,50,2841.788,2455,3195,8.644,2,20,2675.85,2464,2875,19721.11,18400,21106
42,12449.311,10969,13880,56060.84,54848,57090,31.669,15,51,3593.961,3123,4046,11.647,3,23,2896.536,2669,3124,22504.127,21098,23979
43,9959.456,8660,11120,54300.015,52991,55224,33.411,16,50,4497.885,3926,5069,15.311,5,29,3093.276,2891,3276,25279.148,23845,26711
44,7959.469,6869,8904,52181.29,50808,53229,35.526,18,57,5574.716,4948,6243,19.736,6,34,3264.689,3058,3451,27977.942,26654,29332
45,6354.405,5419,7097,49829.643,48457,51001,37.772,20,59,6840.696,6193,7624,25.117,9,42,3410.463,3195,3586,30531.987,29353,31751
46,5070.734,4333,5661,47332.328,46083,48516,40.09,20,59,8305.067,7542,9169,31.56,12,50,3531.855,3332,3727,32891.645,31749,34071
47,4043.82,3417,4504,44767.413,43506,45905,42.571,21,65,9982.163,9085,10971,39.046,19,58,3628.393,3445,3831,35006.58,33842,35950
48,3223.091,2687,3576,42194.466,40962,43380,45.122,21,66,11873.143,10818,13137,47.683,23,75,3700.286,3521,3931,36844.275,35718,37718
